Technology,SiteCode,BSC_OR_RNCName,SiteName,Vendor,CityName,OMC,SiteType,Priority,Type,Region,OSV,ProposedRegion,Zone,MBU,Latitude,Longitude,_2G_OR_3G,Prime_OR_NotPrime,PMCLSiteIndoor_OR_Outdoor,GensetStatus,OMOColocation,CollocatedStatus,SitePowerProfileType,VLAN,Fixed/Non Fixed,Switch/Non Switch,P2P Links,PMP Links,MF Links,Total Links
4G,LHR0026,,LTE_LHR0026__H_ThokarMaster,Huawei,LAHORE,Huawei OMC,Hub,Hub,Macro,Central A,Mobiserve,R1,4.0,C1-LHR-02,31.463,74.2382,2G/3G/LTE,Standby,Indoor,Genset Installed,JAZZ,No,,125,Fixed Site,Switch,7,-   ,10,17
2G,RUR1390,MUL320,RUR1390__S_Bari Jhoke,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.9583,71.2609,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2792,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1450,BHP318,RUR1450__P_Nawan Sher,ZTE,SHUJABAD,ZTE,Elite,Elite,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.811,71.2454,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2915,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ4290,MUL320,SUJ4290__S_Shuja Abad,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8827,71.2878,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY4550,BHP318,HWY4550__S_Ganvain_Kothi__996469,ZTE,SHUJABAD,ZTE,Gold,Gold,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.732026,71.229686,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2915,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ0020,MUL320,SUJ0020__S_Shujabad2__SJ5569,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.87907,71.31692,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK Guest,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ1683,MUL320,SUJ1683,ZTE,SHUJABAD,ZTE,Diamond,Diamond,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.88031993,71.30393384,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/CM-PAK Host,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SUJ1684,MUL320,SUJ1684__S_Al-Quresh Colony,ZTE,SHUJABAD,ZTE,Gold,Gold,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.8783,71.2906,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Guest/CM-PAK Host,,,2621,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RUR1809,MUL320,RUR1809__S_Bhaungwala,ZTE,SHUJABAD,ZTE,Platinum,Platinum,Macro,Central B,HNL,R2,24.0,C6-MUL-06,29.965306,71.173256,2G/LTE,DC Shared,Outdoor,Genset not Installed,E.Co,,,2613,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,SHK4571,LHR013,SHK4571__P_GirjahSoalingStop,Huawei,SHEIKHUPURA,Huawei,Platinum,Platinum,Macro,Central A,Huawei,R1,7.0,C2-SKP-04,31.699,74.0293,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,1820,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY4643,LHR013,HWY4643__H_LHRFaizpurInterchang,Huawei,LAHORE,Huawei,Hub,Hub,Macro,Central A,Huawei,R1,3.0,C2-MKR-02,31.5941,74.2189,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,1807,Fixed Site,Non Switch,1,-   ,-   ,1
2G,HWY5920,LHR013,HWY5920__S_RaviRayan-MRYWarid_EM4364,Huawei,KALA SHAH KAKU,Huawei,Elite,Elite,Macro,Central A,Huawei,R1,7.0,C2-MKR-02,31.7557,74.2613,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,650,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY5923,LHR013,HWY5923__S_KalaShahKaku_IntrchngWarid_15252,Huawei,FEROZE WALA,Huawei,Platinum,Platinum,Macro,Central A,Huawei,R1,7.0,C2-MKR-02,31.6939,74.2675,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,3127,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY5924,LHR013,HWY5924__S_Rana Town-SHD Warid_14648,Huawei,FEROZE WALA,Huawei,Elite,Elite,Macro,Central A,Huawei,R1,7.0,C2-MKR-02,31.6819,74.2747,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Guest/PTCL Host,,,1851,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY5936,LHR009,HWY5936__S_HiranminarIntrchngWarid_21939,Huawei,SHEIKHUPURA,Huawei,Diamond,Diamond,Macro,Central A,Huawei,R1,7.0,C2-SKP-04,31.7636,73.9528,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,676,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY5943,LHR013,HWY5943__S_Dheriwala-SHK Warid_25337,Huawei,SHEIKHUPURA,Huawei,Diamond,Diamond,Macro,Central A,Huawei,R1,7.0,C2-SKP-04,31.7334,74.0971,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/UFONE Guest,,,640,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY5949,LHR009,HWY5949__S_OPP Aya Virkan Warid_SH1885,Huawei,SHEIKHUPURA,Huawei,Elite,Elite,Macro,Central A,Huawei,R1,7.0,C2-SKP-04,31.673,73.9793,2G/LTE,Standby,Indoor,Genset Installed,JAZZ,,,677,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1019,ISB004,RWP1019__S_NTCBritishHomes,Huawei,RAWALPINDI,Huawei,Gold,Gold,Macro,North,Mobiserve,R1,13.0,N1-ISB-05,33.6186,73.0035,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,748,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1075,ISB004,RWP1075__S_RABazar,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5876,73.0447,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2278,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1221,ISB007,RWP1221__H_AlShifaTrust_PQ,Huawei,RAWALPINDI,Huawei,Gold,Gold,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5586,73.0986,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,685,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1297,ISB005,RWP1297__S_DhokKalaKhan,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6444,73.0994,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,703,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RWP1020,ISB004,RWP1020__P_PirWadahi,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6293,73.0402,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,2285,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP0199,ISB004,RWP0199__S_Naseerabad_2,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,14.0,N1-ISB-05,33.6239,72.9778,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2285,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1295,ISB004,RWP1295__S_RattaAmral_PT,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.6079,73.0458,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/TELENOR Guest,,,781,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1616,ISB007,RWP1616__S_GulistanFatimaClny,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5474,73.0028,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/CM-PAK+UFONE Guest,,,777,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1615,ISB007,RWP1615__S_BankColony,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5437,73.0156,2G/LTE,CP Prime,Outdoor,Genset not Installed,Jazz Host/UFONE Guest,,,777,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RWP1627,ISB005,RWP1627__S_Shakrial4,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6402,73.1016,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,703,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1267,ISB007,RWP1267__H_OpenAirTheater,Huawei,RAWALPINDI,Huawei,Elite,Elite,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5487,73.1301,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,2291,Fixed Site,Switch,3,10,-   ,13
2G,RWP1617,ISB004,RWP1617__S_Chaakra,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,13.0,N1-ISB-05,33.5873,72.9808,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,748,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1121,ISB005,RWP1121__S_AwanColony,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6539,73.0925,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/UFONE Guest,,,703,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1136,ISB005,RWP1136__S_ProfessorColony_PQ,Huawei,RAWALPINDI,Huawei,Gold,Gold,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6358,73.1035,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,703,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1137,ISB007,RWP1137__S_ChaklalaVillage,Huawei,RAWALPINDI,Huawei,Platinum,Platinum,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6064,73.107,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/UFONE Guest,,,687,Fixed Site,Non Switch,1,-   ,-   ,1
2G,RWP2077,ISB005,RWP2077__S_KhanaKach,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-02,33.6375,73.0887,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,750,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY1188,ISB006,HWY1188__S_Murt2PanjalVlgTalain,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.5382,72.902,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/CM-PAK+UFONE Guest,,,696,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1743,ISB007,RWP1743__P_PakistanTown,Huawei,RAWALPINDI,Huawei,Hub,Hub,Macro,North,Mobiserve,R1,13.0,N1-RWP-01,33.5775,73.1438,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,2291,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1745,ISB007,RWP1745__P_BahriaTownSchool,Huawei,RAWALPINDI,Huawei,Diamond,Diamond,Macro,North,Mobiserve,R1,13.0,N1-RWP-03,33.562,73.1166,2G/LTE,CP Prime,Outdoor,Genset not Installed,JAZZ,,,685,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,HWY1197,ISB010,HWY1197__S_ChanniAlamshir,Huawei,RAWALPINDI,Huawei,Hub,Hub,Macro,North,Mobiserve,R1,12.0,N1-RWP-01,33.4521,73.2222,2G/LTE,Standby,Outdoor,Genset Installed,JAZZ,,,3065,Non Fixed,Non Switch,-   ,-   ,-   ,-   
2G,RWP1147,ISB007,RWP1147__S_GTRoad_PT,Huawei,RAWALPINDI,Huawei,Elite,Elite,Macro,North,Mobiserve,R1,13.0,N1-RWP-01,33.5205,73.1549,2G/LTE,Standby,Outdoor,Genset Installed,Jazz Host/TELENOR Guest,,,749,Fixed Site,Switch,14,6,-   ,20
